DataType,FileName,ExcelColumnNumber,ExcelColumnHeaders,RColumnHeaders,Description,Units,Significant Figures,Protocol,Notes
Soil Fe Fractionation,PhIr2021_FefracSummary,A,Batch,Batch,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,B,Project,Project,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,C,Sample Date,SoilSampleDate,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,D,Area,Area,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,E,Site,SiteName,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,F,Plot,PlotNumber,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,G,Rep,Rep,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,H,Horizon,Horizon,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,I,SedID,SedID,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,J,SoilWetWeight,Soil.ww,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,K,Soildw.ww,Soil.dwww,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,L,SoilDryWeight,Soil.dw,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,M,PP~Fe (mg Fe/gdw),FefracPPFe,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,N,PP~Al (mg Al/gdw),FefracPPAl,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,O,HH~Fe (mg Fe/gdw),FefracHHFe,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,P,HH~Al (mg Al/gdw),FefracHHAl,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,Q,DH~Al (mg Al/gdw),FefracDHAl,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,R,DH~Fe (mg Fe/gdw),FefracDHFe,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,S,Res~Fe (mg Fe/gdw),TotFe,,,,,
Soil Fe Fractionation,PhIr2021_FefracSummary,T,Res~Al (mg Al/gdw),TotAl,,,,,
