Sed ID,Sample Name,collection date,Area,Site,Plot,Rep,Horizon,Weight of empty Al tin (g),Weight of tin + wet sed (g),Weight of tin + dry sed (g),ww (g),dw (g),dw/ww,Moisture
,19-Jul-21 East Hydric 1C-O,19-Jul-21,East,Hydric,1,C,O,1.0034,5.93,2.22,4.9266,1.2166,0.247,75.305
,19-Jul-21 East Hydric 2A-O,19-Jul-21,East,Hydric,2,A,O,1.0009,7.16,2.79,6.1591,1.7891,0.29,70.952
,19-Jul-21 East Hydric 2B-O,19-Jul-21,East,Hydric,2,B,O,1.0068,7.24,2.86,6.2332,1.8532,0.297,70.269
,19-Jul-21 East Hydric 2C-O,19-Jul-21,East,Hydric,2,C,O,1.0041,7.68,2.85,6.6759,1.8459,0.277,72.35
,19-Jul-21 East Hydric 3A-O,19-Jul-21,East,Hydric,3,A,O,1.0018,5.96,2.32,4.9582,1.3182,0.266,73.414
,19-Jul-21 East Hydric 3B-O,19-Jul-21,East,Hydric,3,B,O,1.0066,6.07,2.27,5.0634,1.2634,0.25,75.048
,19-Jul-21 East Hydric 3C-O,19-Jul-21,East,Hydric,3,C,O,1.0092,6.14,2.33,5.1308,1.3208,0.257,74.257
,5-Aug-21 West Hydric 1A-O,5-Aug-21,West,Hydric,1,A,O,0.9843,9.07,2.56,8.0857,1.5757,0.195,80.513
,5-Aug-21 West Hydric 1B-O,5-Aug-21,West,Hydric,1,B,O,1.0052,8.6,2.46,7.5948,1.4548,0.192,80.845
,5-Aug-21 West Hydric 1C-O,5-Aug-21,West,Hydric,1,C,O,1.003,9.84,2.77,8.837,1.767,0.2,80.005
,5-Aug-21 West Hydric 2A-O,5-Aug-21,West,Hydric,2,A,O,0.9884,9.28,2.22,8.2916,1.2316,0.149,85.146
,5-Aug-21 West Hydric 2B-O,5-Aug-21,West,Hydric,2,B,O,1.0057,8.94,2.18,7.9343,1.1743,0.148,85.2
,5-Aug-21 West Hydric 2C-O,5-Aug-21,West,Hydric,2,C,O,1.0031,9.17,2.3,8.1669,1.2969,0.159,84.12
,5-Aug-21 West Hydric 3A-O,5-Aug-21,West,Hydric,3,A,O,1.0004,9.72,2.26,8.7196,1.2596,0.144,85.554
,5-Aug-21 West Hydric 3B-O,5-Aug-21,West,Hydric,3,B,O,1.0082,9.96,2.41,8.9518,1.4018,0.157,84.341
,5-Aug-21 West Hydric 3C-O,5-Aug-21,West,Hydric,3,C,O,0.9989,9.97,2.36,8.9711,1.3611,0.152,84.828
,2-Jul-21 East Dry  1-O,2-Jul-21,East,Dry,1,,O,1.16,7.82,2.95,6.66,1.79,0.269,73.123
,2-Jul-21 East Dry  2A-O,2-Jul-21,East,Dry,2,A,O,1.14,6.87,2.56,5.73,1.42,0.248,75.218
,2-Jul-21 East Dry  2B-O,2-Jul-21,East,Dry,2,B,O,1.15,5.97,2.28,4.82,1.13,0.234,76.556
,2-Jul-21 East Dry  3-O,2-Jul-21,East,Dry,3,,O,1.16,7.36,3.05,6.2,1.89,0.305,69.516
,2-Jul-21 East Mesic 1-O,2-Jul-21,East,Mesic,1,,O,1.16,5.31,2.02,4.15,0.86,0.207,79.277
,2-Jul-21 East Mesic 2-O,2-Jul-21,East,Mesic,2,,O,1.16,6.73,2.35,5.57,1.19,0.214,78.636
,2-Jul-21 East Mesic 3-O,2-Jul-21,East,Mesic,3,,O,1.16,6.2,2.35,5.04,1.19,0.236,76.389
,2-Jul-21 East Hydric 1-O,2-Jul-21,East,Hydric,1,,O,1.14,7.91,2.31,6.77,1.17,0.173,82.718
,2-Jul-21 East Hydric 2-O,2-Jul-21,East,Hydric,2,,O,1.17,7.46,2.41,6.29,1.24,0.197,80.286
,2-Jul-21 East Hydric 3-O,2-Jul-21,East,Hydric,3,,O,1.14,7.3,2.51,6.16,1.37,0.222,77.76
,5-Jul-21 West Dry  1A-O,5-Jul-21,West,Dry,1,A,O,1.16,6.6,1.95,5.44,0.79,0.145,85.478
,5-Jul-21 West Dry  1B-O,5-Jul-21,West,Dry,1,B,O,1.17,7.27,2.45,6.1,1.28,0.21,79.016
,5-Jul-21 West Dry  1C-O,5-Jul-21,West,Dry,1,C,O,1.14,7.43,2.48,6.29,1.34,0.213,78.696
,5-Jul-21 West Dry  2-O,5-Jul-21,West,Dry,2,,O,1.15,7.29,2.46,6.14,1.31,0.213,78.664
,5-Jul-21 West Dry  3-O,5-Jul-21,West,Dry,3,,O,1.15,7.37,2.42,6.22,1.27,0.204,79.582
,5-Jul-21 West Mesic 1-O,5-Jul-21,West,Mesic,1,,O,1,10.47,2.33,9.47,1.33,0.14,85.956
,5-Jul-21 West Mesic 2-O,5-Jul-21,West,Mesic,2,,O,0.99,7.91,1.85,6.92,0.86,0.124,87.572
,5-Jul-21 West Mesic 3-O,5-Jul-21,West,Mesic,3,,O,0.98,8.09,2.13,7.11,1.15,0.162,83.826
,5-Jul-21 West Hydric 1-O,5-Jul-21,West,Hydric,1,,O,2.14,14.15,3.63,12.01,1.49,0.124,87.594
,5-Jul-21 West Hydric 2-O,5-Jul-21,West,Hydric,2,,O,2.19,14.57,3.76,12.38,1.57,0.127,87.318
,5-Jul-21 West Hydric 3-O,5-Jul-21,West,Hydric,3,,O,2.23,18.33,4.24,16.1,2.01,0.125,87.516
,19-Jul-21 East Dry  1A-O,19-Jul-21,East,Dry,1,A,O,2.21,9.42,4.21,7.21,2,0.277,72.261
,19-Jul-21 East Dry  1B-O,19-Jul-21,East,Dry,1,B,O,2.16,10.2,4.51,8.04,2.35,0.292,70.771
,19-Jul-21 East Dry  1C-O,19-Jul-21,East,Dry,1,C,O,2.2,10.28,4.32,8.08,2.12,0.262,73.762
,19-Jul-21 East Dry  2-O,19-Jul-21,East,Dry,2,,O,2.22,7.05,3.31,4.83,1.09,0.226,77.433
,19-Jul-21 East Dry  3-O,19-Jul-21,East,Dry,3,,O,2.2,8.02,3.94,5.82,1.74,0.299,70.103
,19-Jul-21 East Mesic 1-O,19-Jul-21,East,Mesic,1,,O,2.2,6.93,3.44,4.73,1.24,0.262,73.784
,19-Jul-21 East Mesic 2-O,19-Jul-21,East,Mesic,2,,O,2.22,6.45,3.33,4.23,1.11,0.262,73.759
,19-Jul-21 East Mesic 3A-O,19-Jul-21,East,Mesic,3,A,O,2.17,4.23,2.62,2.06,0.45,0.218,78.155
,22-Jul-21 West Dry  1-O,22-Jul-21,West,Dry,1,,O,2.17,12.43,4.86,10.26,2.69,0.262,73.782
,22-Jul-21 West Dry  2-O,22-Jul-21,West,Dry,2,,O,2.19,10.67,3.44,8.48,1.25,0.147,85.259
,22-Jul-21 West Dry  3-O,22-Jul-21,West,Dry,3,,O,2.17,16.06,5.88,13.89,3.71,0.267,73.29
,22-Jul-21 West Mesic 1-O,22-Jul-21,West,Mesic,1,,O,2.18,16.57,4.44,14.39,2.26,0.157,84.295
,22-Jul-21 West Mesic 2-O,22-Jul-21,West,Mesic,2,,O,2.2,13.76,4.51,11.56,2.31,0.2,80.017
,22-Jul-21 West Mesic 3-O,22-Jul-21,West,Mesic,3,,O,2.17,16.91,4.75,14.74,2.58,0.175,82.497
,22-Jul-21 West Hydric 1-O,22-Jul-21,West,Hydric,1,,O,2.21,20.65,4.55,18.44,2.34,0.127,87.31
,22-Jul-21 West Hydric 2-O,22-Jul-21,West,Hydric,2,,O,2.25,17.35,4.92,15.1,2.67,0.177,82.318
,22-Jul-21 West Hydric 3A-O,22-Jul-21,West,Hydric,3,A,O,2.22,14.37,4.04,12.15,1.82,0.15,85.021
,22-Jul-21 West Hydric 3B-O,22-Jul-21,West,Hydric,3,B,O,2.21,17.84,4.62,15.63,2.41,0.154,84.581
,22-Jul-21 West Hydric 3C-O,22-Jul-21,West,Hydric,3,C,O,2.25,16.57,4.49,14.32,2.24,0.156,84.358
,2-Aug-21 East Dry  1A-O,2-Aug-21,East,Dry,1,A,O,2.2,11.71,4.89,9.51,2.69,0.283,71.714
,2-Aug-21 East Dry  1B-O,2-Aug-21,East,Dry,1,B,O,2.22,11.82,4.66,9.6,2.44,0.254,74.583
,2-Aug-21 East Dry  1C-O,2-Aug-21,East,Dry,1,C,O,2.15,13.61,5.29,11.46,3.14,0.274,72.6
,2-Aug-21 East Dry  2-O,2-Aug-21,East,Dry,2,,O,2.21,14.99,6.21,12.78,4,0.313,68.701
,2-Aug-21 East Dry  3-O,2-Aug-21,East,Dry,3,,O,2.22,12.07,5.08,9.85,2.86,0.29,70.964
,2-Aug-21 East Mesic 1-O,2-Aug-21,East,Mesic,1,,O,2.16,17.07,4.89,14.91,2.73,0.183,81.69
,2-Aug-21 East Mesic 2-O,2-Aug-21,East,Mesic,2,,O,2.22,15.42,4.78,13.2,2.56,0.194,80.606
,2-Aug-21 East Mesic 3-O,2-Aug-21,East,Mesic,3,,O,2.19,12.28,5.19,10.09,3,0.297,70.268
,2-Aug-21 East Hydric 1A-O,2-Aug-21,East,Hydric,1,A,O,2.26,13.22,4.76,10.96,2.5,0.228,77.19
,2-Aug-21 East Hydric 1B-O,2-Aug-21,East,Hydric,1,B,O,2.23,17.22,5.68,14.99,3.45,0.23,76.985
,2-Aug-21 East Hydric 1C-O,2-Aug-21,East,Hydric,1,C,O,2.18,13.39,4.24,11.21,2.06,0.184,81.624
,2-Aug-21 East Hydric 2-O,2-Aug-21,East,Hydric,2,,O,2.15,21.19,8.42,19.04,6.27,0.329,67.069
,2-Aug-21 East Hydric 3A-O,2-Aug-21,East,Hydric,3,A,O,2.18,15.27,7,13.09,4.82,0.368,63.178
,2-Aug-21 East Hydric 3B-O,2-Aug-21,East,Hydric,3,B,O,2.26,17.18,8.55,14.92,6.29,0.422,57.842
,2-Aug-21 East Hydric 3C-O,2-Aug-21,East,Hydric,3,C,O,2.2,21.61,9.43,19.41,7.23,0.372,62.751
,5-Aug-21 West Dry  1-O,5-Aug-21,West,Dry,1,,O,2.18,21.64,6.99,19.46,4.81,0.247,75.283
,5-Aug-21 West Dry  2-O,5-Aug-21,West,Dry,2,,O,2.25,22.33,6.81,20.08,4.56,0.227,77.291
,5-Aug-21 West Dry  3-O,5-Aug-21,West,Dry,3,,O,2.18,24.98,11.68,22.8,9.5,0.417,58.333
,5-Aug-21 West Mesic 1-O,5-Aug-21,West,Mesic,1,,O,2.15,25.16,5.86,23.01,3.71,0.161,83.877
,5-Aug-21 West Mesic 2-O,5-Aug-21,West,Mesic,2,,O,2.25,19.57,4.93,17.32,2.68,0.155,84.527
,5-Aug-21 West Mesic 3-O,5-Aug-21,West,Mesic,3,,O,2.19,21.41,6.75,19.22,4.56,0.237,76.275
