collection date,Area,Site,Horizon,Plot,pH,,,Date of collection,Area,Site,Soil layer,Plot#,pH
2-Jul-21,East,Dry,Organic,1,4.9,4.7,,2-Jul-21,East,Dry,Organic,1,4.7
2-Jul-21,East,Dry,Organic,2,3.8,,,2-Jul-21,East,Mesic,Organic,1,5.1
2-Jul-21,East,Dry,Organic,3,5.4,,,2-Jul-21,East,Hydric,Organic,1,5.533333333
2-Jul-21,East,Mesic,Organic,1,4.9,5.1,,5-Jul-21,West,Dry,Organic,1,6.433333333
2-Jul-21,East,Mesic,Organic,2,5.4,,,5-Jul-21,West,Mesic,Organic,1,6.366666667
2-Jul-21,East,Mesic,Organic,3,5,,,5-Jul-21,West,Hydric,Organic,1,6.233333333
2-Jul-21,East,Hydric,Organic,1,5.6,5.533333333,,19-Jul-21,East,Dry,Organic,1,4.6
2-Jul-21,East,Hydric,Organic,2,5.3,,,19-Jul-21,East,Mesic,Organic,1,4.533333333
2-Jul-21,East,Hydric,Organic,3,5.7,,,19-Jul-21,East,Hydric,Organic,1,5.233333333
5-Jul-21,West,Dry,Organic,1,6.8,6.433333333,,22-Jul-21,West,Dry,Organic,1,6.3
5-Jul-21,West,Dry,Organic,2,6.6,,,22-Jul-21,West,Mesic,Organic,1,6.133333333
5-Jul-21,West,Dry,Organic,3,5.9,,,22-Jul-21,West,Hydric,Organic,1,6.3
5-Jul-21,West,Mesic,Organic,1,6.3,6.366666667,,2-Aug-21,East,Dry,Organic,1,5.433333333
5-Jul-21,West,Mesic,Organic,2,6.5,,,2-Aug-21,East,Mesic,Organic,1,5.2
5-Jul-21,West,Mesic,Organic,3,6.3,,,2-Aug-21,East,Hydric,Organic,1,5.4
5-Jul-21,West,Hydric,Organic,1,6.6,6.233333333,,5-Aug-21,West,Dry,Organic,1,6.766666667
5-Jul-21,West,Hydric,Organic,2,5.6,,,5-Aug-21,West,Mesic,Organic,1,6.066666667
5-Jul-21,West,Hydric,Organic,3,6.5,,,5-Aug-21,West,Hydric,Organic,1,6.533333333
19-Jul-21,East,Dry,Organic,1,4.3,4.6,,,,,,,
19-Jul-21,East,Dry,Organic,2,4.8,,,,,,,,
19-Jul-21,East,Dry,Organic,3,4.7,,,,,,,,
19-Jul-21,East,Mesic,Organic,1,4.3,4.533333333,,,,,,,
19-Jul-21,East,Mesic,Organic,2,4.2,,,,,,,,
19-Jul-21,East,Mesic,Organic,3,5.1,,,,,,,,
19-Jul-21,East,Hydric,Organic,1,4.6,5.233333333,,,,,,,
19-Jul-21,East,Hydric,Organic,2,5.6,,,,,,,,
19-Jul-21,East,Hydric,Organic,3,5.5,,,,,,,,
22-Jul-21,West,Dry,Organic,1,5.6,6.3,,,,,,,
22-Jul-21,West,Dry,Organic,2,6.7,,,,,,,,
22-Jul-21,West,Dry,Organic,3,6.6,,,,,,,,
22-Jul-21,West,Mesic,Organic,1,5.7,6.133333333,,,,,,,
22-Jul-21,West,Mesic,Organic,2,6.8,,,,,,,,
22-Jul-21,West,Mesic,Organic,3,5.9,,,,,,,,
22-Jul-21,West,Hydric,Organic,1,6,6.3,,,,,,,
22-Jul-21,West,Hydric,Organic,2,6.8,,,,,,,,
22-Jul-21,West,Hydric,Organic,3,6.1,,,,,,,,
2-Aug-21,East,Dry,Organic,1,5.7,5.433333333,,,,,,,
2-Aug-21,East,Dry,Organic,2,5,,,,,,,,
2-Aug-21,East,Dry,Organic,3,5.6,,,,,,,,
2-Aug-21,East,Mesic,Organic,1,5.4,5.2,,,,,,,
2-Aug-21,East,Mesic,Organic,2,4.9,,,,,,,,
2-Aug-21,East,Mesic,Organic,3,5.3,,,,,,,,
2-Aug-21,East,Hydric,Organic,1,5,5.4,,,,,,,
2-Aug-21,East,Hydric,Organic,2,5.7,,,,,,,,
2-Aug-21,East,Hydric,Organic,3,5.5,,,,,,,,
5-Aug-21,West,Dry,Organic,1,6.7,6.766666667,,,,,,,
5-Aug-21,West,Dry,Organic,2,7,,,,,,,,
5-Aug-21,West,Dry,Organic,3,6.6,,,,,,,,
5-Aug-21,West,Mesic,Organic,1,6.1,6.066666667,,,,,,,
5-Aug-21,West,Mesic,Organic,2,6.2,,,,,,,,
5-Aug-21,West,Mesic,Organic,3,5.9,,,,,,,,
5-Aug-21,West,Hydric,Organic,1,6.5,6.533333333,,,,,,,
5-Aug-21,West,Hydric,Organic,2,6.6,,,,,,,,
5-Aug-21,West,Hydric,Organic,3,6.5,,,,,,,,
